361569#|[3604528]|[36065]|1974-08-30|1985-04-17|2013-09-27|1985-04-17|no|||||no||||||||||||||34
361253#|[3607304572]|[36073]|1974-10-25|1981-10-15|1981-10-15|1981-10-15|no|||||no||||||||||||||33
360953|[3612304594]|[36123]|1974-05-31|1984-03-09|1984-03-09|1984-03-09|no|||||no||||||||||||||36
360832#|[3610704671]|[36107]|1974-06-21|1982-06-15|2012-04-17|1982-06-15|no|||||no||||||||||||||37
360279#|[3603704715]|[36037]|1973-12-28|1982-09-16|1982-09-16|1982-09-16|no|||||yes|360279|2016-10-01|2016-10-01|7|15|5|C|||||||44
360278#|[3603704726]|[36037]|1974-05-03|1985-01-17|1985-01-17|1985-01-17|no|||||no||||||||||||||44
360766#|[3610104770]|[36101]|1974-08-30|1983-05-02|1983-05-02|1983-05-02|no|||||no||||||||||||||1
360767#|[3604759]|[36101]|1975-07-25|1977-08-15|1983-03-16|1983-03-16|no|||yes||no||||||||||||||1
360459#|[3604803]|[36059]|1974-06-14|1983-05-16|2009-09-11|1983-05-16|no|||||no||||||||||||||21
360988#|[3605034]|[36059]|1974-05-03|1983-09-15|2009-09-11|1983-09-15|no|||||yes|360988|1992-10-01|2003-10-01|8|10|5|C|||||||21
360217#|[3602705100]|[36027]|1974-07-26|1984-03-01|2012-05-02|1984-03-01|no|||yes||no||||||||||||||11
360903#|[3611905320]|[36119]|1974-05-31|1979-12-04|2007-09-28|1979-12-04|no|||yes||no||||||||||||||24
361333#|[3602705452]|[36027]|1974-10-18|1984-09-05|2012-05-02|1984-09-05|no|||||no||||||||||||||11
360166#|[3601905485]|[36019]|1976-02-27|1987-05-04|2007-09-28|1987-05-04|no|||||no||||||||||||||20
361096#|[3600305573]|[36003]|1974-10-18|1982-08-06|1982-08-06|1982-08-06|no|||||no||||||||||||||2
361532#|[3605672]|[36103]|1974-12-27|1983-03-16|2009-09-25|1983-03-16|no|||||no||||||||||||||9
361392|[3603305716]|[36033]|1975-01-17|1985-08-05|1985-08-05|1985-08-05|no|||||no||||||||||||||53
361069#|[3605771]|[36103]|1974-11-01|1982-10-15|2009-09-25|1982-10-15|no|||||no||||||||||||||9
360025#|[3605815]|[36003]|1974-02-01|1984-12-18|1984-12-18|1984-12-18|no|||||no||||||||||||||2
360133#|[3605848]|[36013]|1974-08-09|1977-11-02|1977-11-02|1977-11-02|no|||||no||||||||||||||52
360941|[3612105936]|[36121]|1974-07-26|1983-12-23|1983-12-23|1983-12-23|no|||||no||||||||||||||49
361598|[3604105958]|[36041]||||1983-01-31|no|||||no||||||||||||||10
360955|[3612306002]|[36123]|1974-06-07|1984-01-20|1984-01-20|1984-01-20|no|||||no||||||||||||||36
361137|[3603706057]|[36037]|1974-11-22|1976-07-09|1984-07-06|1984-07-06|no|||||no||||||||||||||44
361497|[3606046]|[36037]|1975-02-14|1979-06-08|1979-06-08|1979-06-08|no|||||no||||||||||||||44
361215#|[3610706145]|[36107]|1974-10-18|1985-05-15|2012-04-17|1985-05-15|no|||||no||||||||||||||37
360672#|[3608306189]|[36083]|1974-08-30|1979-08-17|1979-08-17|1979-08-17|no|||||no||||||||||||||41
360003A|[3600106211]|[36001]|1974-06-28|1987-08-01|2015-03-16|1987-08-01|no|||||no||||||||||||||14
